,summary,config,name
0,"{'graph': {'path': 'media/graph/graph_summary_4fa0314954040c4a9f9a.graph.json', 'size': 738, '_type': 'graph-file', 'sha256': '4fa0314954040c4a9f9a052c6e472c151ec8aa76c148111836e024e8ff18ea7e'}, '_wandb': {'runtime': 28}, '_timestamp': 1639653672, 'best_epoch': 0, 'val_binary_crossentropy': 2.042963981628418, '_step': 99, 'epoch': 99, 'val_loss': 2.042963981628418, 'best_val_loss': 0.8145332932472229, 'binary_crossentropy': 6.482959724962711e-05, 'loss': 6.482959724962711e-05, '_runtime': 31}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': False, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': False, 'dense_units': 256, 'train_split': 0.6}",still-snow-503
1,"{'_step': 99, 'epoch': 99, '_wandb': {'runtime': 28}, 'val_loss': 1.6147137880325315, 'best_epoch': 0, 'binary_crossentropy': 0.00032324425410479307, 'val_binary_crossentropy': 1.6147137880325315, 'loss': 0.00032324425410479307, '_runtime': 31, '_timestamp': 1639653516, 'best_val_loss': 0.8611846566200256, 'graph': {'path': 'media/graph/graph_summary_4fa0314954040c4a9f9a.graph.json', 'size': 738, '_type': 'graph-file', 'sha256': '4fa0314954040c4a9f9a052c6e472c151ec8aa76c148111836e024e8ff18ea7e'}}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': True, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': False, 'dense_units': 256, 'train_split': 0.6}",misty-surf-502
2,"{'_wandb': {'runtime': 29}, '_timestamp': 1639653284, 'best_epoch': 99, 'loss': 0.012089456431567667, 'epoch': 99, '_runtime': 32, 'val_loss': 0.2281985580921173, 'best_val_loss': 0.2281985580921173, 'binary_crossentropy': 0.012089456431567667, 'val_binary_crossentropy': 0.2281985580921173, '_step': 99, 'graph': {'_type': 'graph-file', 'sha256': 'c5b74073d85aed9a2f9605a43af7dc48251e23796041639998fb67d9c69b4f97', 'path': 'media/graph/graph_summary_c5b74073d85aed9a2f96.graph.json', 'size': 768}}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': True, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': True, 'dense_units': 256, 'train_split': 0.6}",royal-smoke-501
3,"{'loss': 0.007107687182724476, 'epoch': 99, '_wandb': {'runtime': 35}, '_runtime': 37, 'best_epoch': 99, 'best_val_loss': 0.22719305753707889, '_step': 99, 'graph': {'path': 'media/graph/graph_summary_c5b74073d85aed9a2f96.graph.json', 'size': 768, '_type': 'graph-file', 'sha256': 'c5b74073d85aed9a2f9605a43af7dc48251e23796041639998fb67d9c69b4f97'}, 'val_loss': 0.22719305753707889, '_timestamp': 1639653095, 'binary_crossentropy': 0.007107687182724476, 'val_binary_crossentropy': 0.22719305753707889}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': False, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': True, 'dense_units': 256, 'train_split': 0.6}",neat-field-500
4,"{'epoch': 99, 'graph': {'_type': 'graph-file', 'sha256': 'c5b74073d85aed9a2f9605a43af7dc48251e23796041639998fb67d9c69b4f97', 'path': 'media/graph/graph_summary_c5b74073d85aed9a2f96.graph.json', 'size': 768}, '_wandb': {'runtime': 27}, 'best_epoch': 24, 'best_val_loss': 0.4614376425743103, 'val_binary_crossentropy': 0.5040614008903503, 'loss': 0.05143233016133309, '_step': 99, '_runtime': 31, 'val_loss': 0.5040614008903503, '_timestamp': 1639652997, 'binary_crossentropy': 0.05143233016133309}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': False, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': True, 'dense_units': 256, 'train_split': 0.6}",dainty-pond-499
5,"{'epoch': 99, '_runtime': 30, '_timestamp': 1639652699, 'binary_crossentropy': 0.0005196082638576627, 'val_binary_crossentropy': 1.2257620096206665, 'loss': 0.0005196082638576627, '_step': 99, 'graph': {'_type': 'graph-file', 'sha256': '4fa0314954040c4a9f9a052c6e472c151ec8aa76c148111836e024e8ff18ea7e', 'path': 'media/graph/graph_summary_4fa0314954040c4a9f9a.graph.json', 'size': 738}, '_wandb': {'runtime': 28}, 'val_loss': 1.2257620096206665, 'best_epoch': 0, 'best_val_loss': 0.5793630480766296}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': True, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': False, 'dense_units': 256, 'train_split': 0.6}",major-haze-498
6,"{'_runtime': 29, 'best_val_loss': 0.736174464225769, 'binary_crossentropy': 0.00017529010074213147, 'loss': 0.00017529010074213147, '_step': 99, 'graph': {'path': 'media/graph/graph_summary_4fa0314954040c4a9f9a.graph.json', 'size': 738, '_type': 'graph-file', 'sha256': '4fa0314954040c4a9f9a052c6e472c151ec8aa76c148111836e024e8ff18ea7e'}, '_wandb': {'runtime': 27}, 'val_binary_crossentropy': 1.2615896463394165, 'epoch': 99, 'val_loss': 1.2615896463394165, '_timestamp': 1639652454, 'best_epoch': 0}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': False, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': False, 'dense_units': 256, 'train_split': 0.6}",warm-snowflake-497
7,"{'best_epoch': 99, 'best_val_loss': 0.16291247308254242, 'binary_crossentropy': 0.002481149509549141, 'loss': 0.002481149509549141, 'graph': {'path': 'media/graph/graph_summary_c5b74073d85aed9a2f96.graph.json', 'size': 768, '_type': 'graph-file', 'sha256': 'c5b74073d85aed9a2f9605a43af7dc48251e23796041639998fb67d9c69b4f97'}, '_wandb': {'runtime': 34}, 'val_loss': 0.16291247308254242, '_timestamp': 1639652222, 'val_binary_crossentropy': 0.16291247308254242, '_step': 99, 'epoch': 99, '_runtime': 36}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': True, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': True, 'dense_units': 256, 'train_split': 0.6}",balmy-elevator-496
8,"{'loss': 0.4553948044776917, '_step': 99, '_wandb': {'runtime': 35}, '_timestamp': 1639651988, 'best_val_loss': 0.6931471824645996, 'binary_crossentropy': 0.4553948044776917, 'val_binary_crossentropy': 0.7239952683448792, 'epoch': 99, 'graph': {'path': 'media/graph/graph_summary_43def71a69aca10498a1.graph.json', 'size': 762, '_type': 'graph-file', 'sha256': '43def71a69aca10498a1bbd813508a40d4e1dff840a0eb81e780087656330b89'}, '_runtime': 37, 'val_loss': 0.7239952683448792, 'best_epoch': 0}","{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': True, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': True, 'dense_units': 1, 'train_split': 0.7}",mild-voice-495
9,{'_wandb': {'runtime': 8}},"{'epochs': 100, 'dropout': 0.1, 'dropout_2': 0.5, 'trainable': True, 'batch_size': 20, 'preprocess': 'medium', 'pretrained': True, 'dense_units': 1, 'train_split': 0.7}",fallen-dream-494
